Department,Course Title,Course No.,Related Dept,Related Dept 2,Related Dept 3
Management,Management Science,MSMGT-301,,,
Management,Organizational Behavior,OBMGT-302,,,
Management,Financial Management,FMMGT-303,,,
Management,Entrepreneurship Development,EDMGT-304,Development Studies,,
Management,Management Information Systems,MISMGT-305,,,
Management,Management of Small and Medium Enterprises (SME),SMEMGT-306,,,
Management,Human Resource Management,HRMMGT-307,,,
Management,Industrial Relations,IRMGT-308,,,
Management,Marketing Management,MMMGT-309,Marketing,,
Management,Operation Management,OMMGT-310,,,
Management,Development of Management Thought,DMTMGT-401,Development Studies,,
Management,Cost and Management Accounting,CMAMGT-402,Accounting,,
Management,E-Business,EBMGT-403,,,
Management,Bank Management,BMMGT-404,,,
Management,International Business,IBMGT-405,,,
Management,Project Management,PMMGT-406,,,
Management,Business Research,BRMGT-407,,,
Management,Total Quality Management,TQMMGT-408,,,
Management,Portfolio Management,PMMGT-409,,,
Management,Strategic Management,SMMGT-410,,,
Development Studies,Introduction to Development Studies: Theories and Approaches,DS101,,,
Development Studies,Microeconomics,DS102,Economics,,
Development Studies,Introduction to Politics and Political Thoughts,DS103,Political Science,,
Development Studies,Introduction to Anthropology and Sociology,DS104,Sociology, Anthropology,
Development Studies,English Composition,DS105,English,,
Development Studies,Anthropology of Development,DS106,Anthropology,,
Development Studies,Linear Algebra and Calculus,DS107,Mathematics,GEB,
Development Studies,Macroeconomics,DS108,Economics,,
Development Studies,Introduction to Public Administration,DS109,Public Administration,,
Development Studies,Bangladesh Studies,DS110,Bangla,,
Development Studies,Development Economics,DS201,Economics,,
Development Studies,Organizational Behavior,DS202,,,
Development Studies,Agriculture and Rural Development,DS203,,,
Development Studies,Human Development,DS204,,,
Development Studies,Mathematical Economics,DS205,Mathematics, Economics,
Development Studies,Statistics,DS206,Statistics,,
Development Studies,International Trade,DS207,,,
Development Studies,"Poverty: Concept, Measurement and Policy",DS208,,,
Development Studies,Environment and Sustainable Development,DS209,Environmental Science,,
Development Studies,Basic Econometrics,DS301,Economics,,
Development Studies,Gender and Development,DS302,,,
Development Studies,Public Finance,DS303,Finance,,
Development Studies,Labor and Migration,DS304,,,
Development Studies,NGOs and Development Management,DS305,Management,,
Development Studies,"Banking, Finance and Insurance",DS306,Finance, Banking & Insurance,
Development Studies,Governance and Development,DS307,,,
Development Studies,Area Studies: Comparative Development Experiences,DS308,,,
Development Studies,Political Economy and History of Bangladesh,DS401,History ,Political Science,Bangla
Development Studies,Quantitative Research Methodology,DS402,,,
Development Studies,Qualitative Research Methodology,DS403,,,
Development Studies,History of Economic Thoughts,DS404,History,,
Development Studies,Project Management,DS405,Management,,
Development Studies,Understanding Public Policy Process,DS406,,,
Development Studies,Research Paper,DS407,,,
Development Studies,Comprehensive and Viva-voce,DS408,,,
Farsi Language and Literature,Persian Language Learning (Elementary),Per101,,,
Farsi Language and Literature,Developing Persian Language Skills-1 (Listening & Speaking),Per102,,,
Farsi Language and Literature,Developing English Language Skills,Per103,English,,
Farsi Language and Literature,Influence of Persian Language on Bangla Language,Per104,Bangla,,
Geography and Environmental Science,Fundamental Concepts in Geography and Environment,GETH101,,,
Geography and Environmental Science,Introduction to Physical Geography and Environment,GETH102,,,
Geography and Environmental Science,Introduction to Human Geography and Environment,GETH103,,,
Geography and Environmental Science,Fundamentals of Economics,GEDTh104,Economics,,
Geography and Environmental Science,Cartography and Map Projection,GELb105,,,
Geography and Environmental Science,Region and World Regional Pattern,GETH106,,,
Geography and Environmental Science,Biogeography,GETH107,,,
Geography and Environmental Science,Fundamentals of Anthropology,GEDTh108,Anthropology,,
Geography and Environmental Science,Topography and Geomatic Surveying,GELb109,,,
Geography and Environmental Science,Fundamentals of Computer,GEDLb110,CSE,,
Geography and Environmental Science,Introduction to Research and Fieldwork in Geography and Environment,GELb111,,,
Geography and Environmental Science,Geomorphology,GETH201,,,
Geography and Environmental Science,Economic Geography,GETH202,,,
Geography and Environmental Science,Introduction to Soil Science,GEDTh203,Soil Science,,
Geography and Environmental Science,Fundamentals of Programming,GEDLb204,CSE,,
Geography and Environmental Science,Fundamentals of GIS and Computer Cartography,GELb205,CSE,,
Geography and Environmental Science,Cultural Geography,GETH206,,,
Geography and Environmental Science,Geography of Natural Resources,GETH207,,,
Geography and Environmental Science,Sociology of Bangladesh,GEDTh208,Bangla, Sociology,
Geography and Environmental Science,Fundamentals of Statistics,GEDTh209,Statistics,,
Geography and Environmental Science,Fundamentals of Remote Sensing,GELb210,,,
Geography and Environmental Science,Research Methods and Fieldwork in Human Geography and Environment,GELb211,,,
Geography and Environmental Science,Thoughts and Concepts in Geography and Environment,GETH301,,,
Geography and Environmental Science,Population Geography,GETH302,,,
Geography and Environmental Science,Fundamentals of Chemistry,GEDTh303,Chemistry,,
Geography and Environmental Science,Application of Statistics in Geography and Environment,GEDLb304,Statistics,,
Geography and Environmental Science,GIS: Advanced Data Concepts and Spatial Analysis,GELb305,,,
Geography and Environmental Science,Map Reading and Interpretation,GELb306,,,
Geography and Environmental Science,Bangladesh: Geography and Environment,GETH307,Bangla,,
Geography and Environmental Science,Climatology,GETH308,,,
Geography and Environmental Science,Fundamentals of Geology,GEDTh309,,,
Geography and Environmental Science,Coastal Geography and Environment,GEDTh310,,,
Geography and Environmental Science,Hazard and Disaster Management,GEDTh311,Management,,
Geography and Environmental Science,Remote Sensing: Image Processing and Analysis,GELb312,,,
Geography and Environmental Science,Research and Fieldwork in Physical Geography and Environment,GELb313,,,
Geography and Environmental Science,Advanced Research Methodology,GEDTh 401,,,
Geography and Environmental Science,Oceanography and Marine Environment,GETH 402,Oceanography, Institute of Marine Science,
Geography and Environmental Science,Urban Geography,GETH403,,,
Geography and Environmental Science,Rural Geography and Settlements,GETH 404,,,
Geography and Environmental Science,Environmental Planning and Management,GETH 405,Management,,
Geography and Environmental Science,Application of GIS and Remote Sensing,GELb 406,,,
Geography and Environmental Science,Political Geography,GETH 407,Political Science,,
Geography and Environmental Science,Transport Geography,GETH 408,,,
Geography and Environmental Science,Regional Geography of South Asia,GETH 409,,,
Geography and Environmental Science,Agricultural Geography,GETH 410,,,
Geography and Environmental Science,Physical Analysis of Environment,GELb 411,,,
Geography and Environmental Science,Chemical Analysis of Environment,GELb 412,,,
Geography and Environmental Science,Landuse Survey,GELb 413,,,
International Relation,Foundation Course: English Language Skills,IRIRFC,English,,
International Relation,Introduction to International Relations,IR101,,,
International Relation,International Relations in History,IR102,History,,
International Relation,Contemporary Global Issues,IR103,,,
International Relation,Fundamentals of Political Science,IR104,Political Science,,
International Relation,Introduction to Sociology,IR105,Sociology,,
International Relation,Fundamentals of Economics,IR106,Economics,,
International Relation,Political Geography,IR107,Geography and Environmental Science,Political Science,
International Relation,History and Politics of Bangladesh,IR108,History,Political Science,Bangla
International Relation,Comparative Political Systems,IR201,Political Science,,
International Relation,Media and International Relations,IR202,Commuinication & Journalism,,
International Relation,Politics of International and Regional Institutions,IR203,Political Science,,
International Relation,Foreign Language: Part I (Japanese/French),IR204,,,
International Relation,Political Thoughts and Ideologies in International Relations,IR205,Political Science,,
International Relation,Qualitative Methods in Social Research,IR206,,,
International Relation,Quantitative Methods in Social Research,IR207,,,
International Relation,Foreign Language: Part II (Japanese/French),IR208,,,
International Relation,Theories of International Relations,IR301,,,
International Relation,International Law,IR302,LAW,,
International Relation,Strategic Studies,IR303,,,
International Relation,Foreign Policy Analysis,IR304,,,
International Relation,Comparative Foreign Policies,IR305,,,
International Relation,Bangladesh in Global Affairs,IR306,Bangla,,
International Relation,International Diplomacy and Negotiations,IR307,,,
International Relation,Global Environmental Politics,IR308,Environmental Science,Political Science,
International Relation,"Globalisation, Development and Governance",IR401,Development Studies,,
International Relation,Maritime Affairs,IR402,,,
International Relation,Gender in International Relations,IR403,,,
International Relation,"Refugees, Migrants and the Displaced",IR404,,,
International Relation,"State, Civil Society and Human Rights",IR405,,,
International Relation,Politics of Globalization,IR406,Political Science,,
International Relation,"State, Civil Society, and Human Rights (Duplicate Entry)",IR407,,,
International Relation,Directed Readings,IR408,,,
International Relation,Political Psychology,IR409,Psychology ,Political Science,
Psychology,Introduction to Psychology,PSY101,,,
Psychology,Statistics in Psychology I,PSY102,Statistics,,
Psychology,Experimental Psychology,PSY103,,,
Psychology,Bangladesh Studies (Extra Departmental Courses),PSY104,Bangla,,
Psychology,Introduction to Sociology (Extra Departmental Courses),PSY105,Sociology,,
Psychology,Practical (Experimentation),PSY106,,,
Psychology,Viva Voce,PSY107,,,
Psychology,Developmental Psychology I,PSY201,Development Studies,,
Psychology,Statistics in Psychology II,PSY202,Statistics,,
Psychology,Basic Psychometrics,PSY203,,,
Psychology,Social Psychology,PSY204,,,
Psychology,Biopsychology,PSY205,,,
Psychology,Data Analysis & Computers (Extra Departmental Courses),PSY206,CSE,,
Psychology,Social Work (Extra Departmental Courses),PSY207,,,
Psychology,Presentation,PSY208,,,
Psychology,Practical (Experimentation),PSY209,,,
Psychology,Viva Voce,PSY210,,,
Psychology,Developmental Psychology II,PSY301,Development Studies,,
Psychology,Statistics in Psychology III,PSY302,Statistics,,
Psychology,Abnormal Psychology,PSY303,,,
Psychology,Psychology of Perception,PSY304,,,
Psychology,Industrial Psychology,PSY305,,,
Psychology,Research Methodology,PSY306,,,
Psychology,Forensic Psychology,PSY307,,,
Psychology,Presentation,PSY308,,,
Psychology,Practical (Testing),PSY309,,,
Psychology,Viva Voce,PSY310,,,
Psychology,Positive Psychology,PSY401,,,
Psychology,Personality Psychology,PSY402,,,
Psychology,Theories of Learning,PSY403,,,
Psychology,History and Systems in Psychology,PSY404,History,,
Psychology,Organizational Behavior,PSY405,,,
Psychology,Counseling Psychology,PSY406,,,
Psychology,Educational Psychology,PSY407,,,
Psychology,Cognitive Psychology,PSY408,,,
Psychology,Practical (Research Project),PSY409,,,
Commuinication & Journalism,Concepts of Communication,MCJ101,,,
Commuinication & Journalism,Concepts of Journalism,MCJ102,,,
Commuinication & Journalism,Mass Media in Bangladesh,MCJ103,Bangla,,
Commuinication & Journalism,Journalistic Writing Skills: Bangla,MCJ104,Bangla,,
Commuinication & Journalism,Interpersonal and Group Communication,MCJ105,,,
Commuinication & Journalism,Mass Communication: Structure and Process,MCJ106,,,
Commuinication & Journalism,Bangladesh Culture and Heritage,MCJ107,Bangla,,
Commuinication & Journalism,Journalistic Writing Skills: English,MCJ108,English,,
Commuinication & Journalism,News Gathering and Writing,MCJ201,,,
Commuinication & Journalism,ICT Skills,MCJ202,,,
Commuinication & Journalism,Social Processes and Institutions,MCJ203,,,
Commuinication & Journalism,Contemporary Bangladesh Affairs,MCJ204,Bangla,,
Commuinication & Journalism,Introduction to Editing,MCJ205,,,
Commuinication & Journalism,Mass Communication Theories,MCJ206,,,
Commuinication & Journalism,Political Processes and Institutions,MCJ207,Political Science,,
Commuinication & Journalism,Contemporary World Affairs,MCJ208,,,
Commuinication & Journalism,Newspaper Reporting,MCJ301,,,
Commuinication & Journalism,Media Laws and Ethics,MCJ302,LAW, Philosophy,
Commuinication & Journalism,Economic Processes and Institutions,MCJ303,,,
Commuinication & Journalism,Communication Research Methodology,MCJ304,,,
Commuinication & Journalism,"Media, Society and Culture",MCJ305,,,
Commuinication & Journalism,Statistics in Communication Research,MCJ306,Statistics,,
Commuinication & Journalism,International Communication,MCJ307,,,
Commuinication & Journalism,Editing and Publishing,MCJ308,,,
Commuinication & Journalism,Communication and Information Technologies,MCJ401,,,
Commuinication & Journalism,Gender and Communication,MCJ402,,,
Commuinication & Journalism,Broadcast Journalism,MCJ403,,,
Commuinication & Journalism,Development Communication,MCJ404,Development Studies,,
Commuinication & Journalism,Video Production,MCJ405,,,
Commuinication & Journalism,Photo Journalism,MCJ406,,,
Commuinication & Journalism,Economic and Business Journalism,MCJ407,,,
Commuinication & Journalism,Graphic Communication,MCJ408,,,
Commuinication & Journalism,Online Journalism,MCJ409,,,
Commuinication & Journalism,Public Speaking and Broadcast Presentation,MCJ410,,,
Commuinication & Journalism,"Feature, Editorial and Op-Ed Writing",MCJ411,,,
Commuinication & Journalism,Magazine Editing and Production,MCJ412,,,
Commuinication & Journalism,Business Communication and Corporate Social Responsibility,MCJ413,,,
Commuinication & Journalism,Development Support and Strategic Communication,MCJ414,Development Studies,,
Commuinication & Journalism,Research,MCJ415,,,
Commuinication & Journalism,Internship,MCJ416,,,
Commuinication & Journalism,Comprehensive,MCJ417,,,
Microbiology,Introductory Microbiology,MBG101C,,,
Microbiology,Microbial Diversity and Ecology,MBG102C,,,
Microbiology,Human Physiology,MBG103C,,,
Microbiology,Basic Techniques in Microbiology,MBG104C,,,
Microbiology,Basic Biochemistry,MBG105C,Chemistry,Biochemistry & Molecular Biology,
Microbiology,Laboratory Works-1,MBG106C,,,
Microbiology,Computer Applications for Life Sciences,MBG108G,CSE,,
Microbiology,Communicative English,MBG109G,English,,
Microbiology,Fundamentals of Chemistry,CM100F,Chemistry,,
Microbiology,General Microbiology,MBG201C,,,
Microbiology,Fundamental Cell Biology,MBG202C,,,
Microbiology,Environmental Microbiology,MBG203C,Environmental Science,,
Microbiology,Bacterial Metabolism,MBG204C,,,
Microbiology,Basic Microbial Genetics,MBG205C,GEB,,
Microbiology,Medical Microbiology,MBG206C,,,
Microbiology,Food Microbiology,MBG207C,,,
Microbiology,Fundamentals of Enzymology,MBG208C,,,
Microbiology,Laboratory Works-2,MBG209C,,,
Microbiology,Biostatistics and Calculus,MBG211G,Statistics, Mathematics,
Microbiology,Biologically Important Organic Compounds,CM222H,Chemistry,Philosophy,
Microbiology,General Chemistry Laboratory,CMGL101H,Chemistry,,
Microbiology,Biosynthetic Metabolism,MBG301C,,,
Microbiology,Microbial Molecular Genetics,MBG302C,GEB,,
Microbiology,Microbial Pathogenesis,MBG303C,,,
Microbiology,Virology,MBG304C,,,
Microbiology,Basic Immunology,MBG305C,,,
Microbiology,Molecular Cell Biology,MBG306C,,,
Microbiology,Agricultural Microbiology,MBG307C,,,
Microbiology,Fermentation Technology,MBG308C,,,
Microbiology,Laboratory Works-3,MBG309C,,,
Microbiology,Applied Mycology,MBG311E,,,
Microbiology,Pharmaceutical Microbiology,MBG312E,,,
Microbiology,Microbiological Hazards and Food Safety,MBG313E,Philosophy,,
Microbiology,Marine Microbiology,MBG314E,Institute of Marine Science,,
Microbiology,Advanced Virology,MBG401C,,,
Microbiology,Advanced Immunology,MBG402C,,,
Microbiology,Genomics and Bioinformatics,MBG403C,,,
Microbiology,Genetic Engineering,MBG404C,GEB,,
Microbiology,Microbial Biotechnology,MBG405C,GEB,,
Microbiology,Analytical Techniques in Life Sciences,MBG406C,Mathematics,,
Microbiology,Quality Control of Food & Agricultural Products,MBG407C,,,
Microbiology,Environmental Pollution and Bioremediation,MBG408C,Environmental Science, Commuinication & Journalism,
Microbiology,Lab works-4,MBG409C,,,
Microbiology,Industrial Microbiology,MBG411E,,,
Microbiology,"Epidemiology, Public Health and Bioethics",MBG412E,Philosophy,,
Microbiology,Microbial Diagnosis in Health Clinics,MBG413E,,,
Microbiology,Advances in Food Fermentation Techniques,MBG414E,,,
Pali,Life & Basic Teachings of Buddha,P-101,,,
Pali,"Pali Language, Grammar & Translation",P-102,,,
Pali,Pali Canonical Texts: Poetry - I,P-103,,,
Pali,Pali Canonical Texts: Prose - I,P-104,,,
Pali,Sociology,Allied-01,Sociology,,
Pali,Computer Science,Allied-02,CSE,,
Pali,Compulsory English,1,English,,
Pali,Pali Poetical Texts: Poetry - II,P-201,,,
Pali,Pali Canonical Texts: Vinay Pitaka,P-202,,,
Pali,Pali Philosophical Texts,P-203,,,
Pali,Pali Canonical Texts: Prose - II,P-204,,,
Pali,History of Ancient India,Allied-03,History,,
Pali,Indian Philosophy,Allied-04,Philosophy,,
Pali,Pali Commentaries,P-301,,,
Pali,Buddhist-Sanskrit Literature,P-302,English,Sanskrit,
Pali,Comparative Philology and Linguistics,P-303,,,
Pali,"Pali Prosody, Rhetoric and Grammar",P-304,,,
Pali,Non-Canonical Pali Literature,P-305,English,,
Pali,Jataka - Apadana Literature and Fables,P-306,English,,
Pali,Pali Chronicles (Vamsa Literature),P-307,English,,
Pali,Introduction to Theravada Buddhist Philosophy,P-308,Philosophy,,
Pali,History of Buddhism in South-East and North-East Asia,P-401,History,,
Pali,History of Buddhism and Buddhist Culture in Bangladesh,P-402,History,Sanskrit,
Pali,Social life and Buddhism,P-403,,,
Pali,Introduction to Mahayana Buddhist Texts and Philosophy,P-404,Philosophy,,
Pali,Introduction to Abhidhamma Pitaka,P-405,,,
Pali,Discourses of Sutta Pitaka,P-406,,,
Pali,Theravada and Mahayana Buddhist Philosophy,P-407,Philosophy,,
Pali,Political and Religious History of Buddhism in Ancient India,P-408,History, Political Science,
Soil Science,Introduction to Soil,Soil 101,,,
Soil Science,Elementary Soil Physics,Soil 102,Physics,,
Soil Science,Elementary Soil Chemistry,Soil 103,Chemistry,,
Soil Science,Crop Science,Soil 104,,,
Soil Science,Elementary Geology,Soil 105,,,
Soil Science,Plant Physiology and Biochemistry,Soil 106,Chemistry,Biochemistry & Molecular Biology,Botany
Soil Science,General Microbiology,Soil 107,Microbiology,,
Soil Science,Inorganic and Organic Chemistry,Soil 108,Chemistry,,
Soil Science,Practical Introduction to Soil & Crop Science,Soil 109,,,
Soil Science,Practical Elementary Soil Physics & Elementary Soil Chemistry,Soil 110,Physics,Chemistry,
Soil Science,Practical Elementary Geology & Inorganic and Organic Chemistry,Soil 111,Chemistry,,
Soil Science,Practical Plant Physiology and Biochemistry & General Microbiology,Soil 112,Chemistry,Microbiology,Botany
Soil Science,Soil Fertility,Soil 201,,,
Soil Science,Plant Nutrition,Soil 202,Botany,,
Soil Science,Forest Soils,Soil 203,,,
Soil Science,Soil Biology,Soil 204,,,
Soil Science,"Plant Taxonomy, Ecology and Biodiversity ",Soil 205,Botany,,
Soil Science,Elementary Geography,Soil 206,Geography and Environmental Science,,
Soil Science,Physical Chemistry,Soil 207,Chemistry,,
Soil Science,Basic Mathematics,Soil 208,Mathematics,,
Soil Science,Practical Soil Fertility & Plant Nutrition,Soil 209,Botany,,
Soil Science,Practical Forest Soils & Soil Biology,Soil 210,,,
Soil Science,"Practical Plant Taxonomy, Ecology and Biodiversity & Basic Mathematics ",Soil 211,Mathematics, Botany,
Soil Science,Practical Elementary Geography & Physical Chemistry,Soil 212,Chemistry, Geography and Environmental Science,
Soil Science,Pedology,Soil 301,,,
Soil Science,Soil Physics,Soil 302,Physics,,
Soil Science,Soil Chemistry,Soil 303,Chemistry,,
Soil Science,Soil Survey and Land Evaluation,Soil 304,,,
Soil Science,Soils of Bangladesh and Agro-ecology,Soil 305,Bangla,,
Soil Science,Microbiology and Soil Biochemistry,Soil 306,Chemistry ,Biochemistry & Molecular Biology,Microbiology
Soil Science,Bio-Statistics,Soil 307,Statistics,,
Soil Science,Practical Soil Physics & Soil Chemistry,Soil 308,Physics, Chemistry,
Soil Science,Practical Pedology & Soils of Bangladesh and Agro-ecology,Soil 309,Bangla,,
Soil Science,Practical Soil Survey and Land Evaluation,Soil 310,,,
Soil Science,Practical Soil Microbiology and Biochemistry & Bio-Statistics,Soil 311,Statistics, Chemistry,Biochemistry & Molecular Biology
Soil Science,Soil Management,Soil 401,Management,,
Soil Science,Crop Management,Soil 402,Management,,
Soil Science,Soil Water Management,Soil 403,Management,,
Soil Science,Soil Conservation and Watershed Management,Soil 404,Management,,
Soil Science,Environmental Pollution,Soil 405,Environmental Science,,
Soil Science,Nursery and Greenhouse Management,Soil 406,Management,,
Soil Science,Research Methodology,Soil 407,,,
Soil Science,Computer and Data Analysis,Soil 408,CSE,,
Soil Science,Remote Sensing and Geographic Information System,Soil 409,,,
Soil Science,Practical Soil Management & Crop Management,Soil 410,Management,,
Soil Science,Practical Soil Water Management & Environmental Pollution,Soil 411,Management, Environmental Science,
Soil Science,Practical Nursery and Greenhouse Management & Soil Conservation,Soil 412,Management,,
Soil Science,Practical Research Methodology & Computer and Data Analysis,Soil 413,CSE,,
Soil Science,Practical Remote Sensing and Geographic Information System,Soil 414,,,
Banking & Insurance,Principles and Practices of Banking,B-101,,,
Banking & Insurance,Business Communication,B-102,Commuinication & Journalism,,
Banking & Insurance,Business and Technology,B-103,,,
Banking & Insurance,Financial Accounting,B-104,Accounting,,
Banking & Insurance,Bangladesh Studies,B-105,Bangla,,
Banking & Insurance,Principles of Insurance,B-106,,,
Banking & Insurance,Business Mathematics,B-107,Mathematics,,
Banking & Insurance,Business Statistics,B-108,Statistics,,
Banking & Insurance,Microeconomics,B-109,Economics,,
Banking & Insurance,Fundamentals of Management,B-110,Management,,
Banking & Insurance,Operations of Life and Non-life Insurance,B-201,,,
Banking & Insurance,Macroeconomics,B-202,Economics,,
Banking & Insurance,Mathematics for Decision Making,B-203,Mathematics,,
Banking & Insurance,Financial Management,B-204,Management,,
Banking & Insurance,Legal Environment of Business,B-205,LAW, Environmental Science,
Banking & Insurance,Entrepreneurship Development,B-206,Development Studies,,
Banking & Insurance,Working Capital Management,B-207,Management,,
Banking & Insurance,Inferential Statistics,B-208,Statistics,,
Banking & Insurance,Principles of Marketing,B-209,Marketing,,
Banking & Insurance,Organization Behavior and Human Resource Management,B-210,Management,,
Banking & Insurance,Insurance and Risk Management,B-301,Management,,
Banking & Insurance,Public Finance,B-302,Finance,,
Banking & Insurance,Financial Markets and Institutions,B-303,,,
Banking & Insurance,Financial Technology,B-304,,,
Banking & Insurance,Managerial Accounting,B-305,Accounting,,
Banking & Insurance,Personal and Corporate Taxation,B-306,,,
Banking & Insurance,Security Analysis and Portfolio Management,B-307,Management,,
Banking & Insurance,International Business,B-308,,,
Banking & Insurance,Auditing and Financial Reporting,B-309,,,
Banking & Insurance,Quantitative Techniques,B-310,,,
Banking & Insurance,Islamic Economics and Banking,B-401,Economics,,
Banking & Insurance,Financial Analysis and Valuation,B-402,,,
Banking & Insurance,Corporate Finance,B-403,Finance,,
Banking & Insurance,Credit Management,B-404,Management,,
Banking & Insurance,Investment Banking,B-405,,,
Banking & Insurance,Central Banking and Monetary Policy,B-406,,,
Banking & Insurance,Project Appraisal and Management,B-407,Management,,
Banking & Insurance,Treasury Management,B-408,Management,,
Banking & Insurance,Strategic Management,B-409,Management,,
Banking & Insurance,Business Research Methodology,B-410,,,
Political Science,Western Political Thought (Ancient and Medieval),PS 101,,,
Political Science,Political Theory and Organisation,PS 102,,,
Political Science,"Comparative Government and Politics: UK, USA and France",PS 103,,,
Political Science,Political Sociology,PS 104,Sociology,,
Political Science,Modern Political Thought,PS 201,,,
Political Science,Principles of Economics,PS 202,Economics,,
Political Science,"Social, Political and Constitutional Development in British India (1757 to 1947)",PS 203,Development Studies,,
Political Science,Public Administration in Bangladesh,PS 204,Bangla, Public Administration,
Political Science,Oriental Political Thought,PS 301,,,
Political Science,International Politics: Theories and Approaches,PS 302,,,
Political Science,"Social, Political and Constitutional Development in Pre-Independent Bangladesh (1947-1971)",PS 303,Bangla,Development Studies,
Political Science,Theories and Approaches to the Study of Politics,PS 304,,,
Political Science,Quantitative Research Methods in Political Science,PS 401,,,
Political Science,Local Governance and Rural Development in Bangladesh,PS 402,Bangla,Development Studies,
Political Science,International Trade and Finance: Theories and Practice,PS 403,Finance,,
Political Science,Comparative Constitutions,PS 404,,,
Political Science,Political and Constitutional Development in Bangladesh (1971-till date),PS 501,Bangla,Development Studies,
Political Science,"Politics, Power and Corruption",PS 502,,,
Political Science,International Politics since World War II,PS 503,,,
Political Science,Government and Politics in the Gulf and Other Arab Countries,PS 504,,,
Political Science,Political Economy of Bangladesh,PS 601,Bangla,,
Political Science,Democracy and Democratisation,PS 602,,,
Political Science,Gender and Politics in Bangladesh,PS 603,Bangla,,
Political Science,"Politics and Governance in South Asia (India, Pakistan, Sri Lanka, Nepal, and Bhutan)",PS 604,,,
Political Science,Geopolitics and Bangladesh,PS 701,Bangla,,
Political Science,Qualitative Research Methods in Political Science,PS 702,,,
Political Science,"Political Development in Comparative Perspectives: Asia, Africa, and Latin America",PS 703,Development Studies,,
Political Science,"Politics of Identity: Ethnicity, Religion and Nationalism",PS 704,,,
Political Science,"Globalisation, Regionalism and International Financial Institutions",PS 801,,,
Political Science,Security Issues: Traditional and Non-traditional,PS 802,,,
Political Science,Human Rights and Political Violence,PS 803,,,
Political Science,Public Sector Management in Comparative Perspective,PS 804,Management,,
Political Science,Research Monograph,PS 805,,,
Philosophy,Introduction to Philosophy (A),PHIL 101,,,
Philosophy,Bangladesh Studies,PHIL 102,Bangla,,
Philosophy,Psychology,PHIL 103,Psychology,,
Philosophy,English Language,PHIL 104,English,,
Philosophy,Introduction to Philosophy (B),PHIL 105,,,
Philosophy,History of Western Philosophy: Ancient and Medieval,PHIL 106,History,,
Philosophy,General Logic: Deduction,PHIL 107,,,
Philosophy,Introduction to Ethics,PHIL 108,,,
Philosophy,General Logic: Induction,PHIL 201,,,
Philosophy,History of Western Philosophy: Modern,PHIL 202,History,,
Philosophy,Political Philosophy: Ancient to Modern,PHIL 203,Political Science,,
Philosophy,Economics,PHIL 204,Economics,,
Philosophy,Symbolic Logic,PHIL 205,,,
Philosophy,Ancient Philosophical Classics: Plato and Aristotle,PHIL 206,,,
Philosophy,Sociology and Anthropology,PHIL 207,Sociology, Anthropology,
Philosophy,Fundamentals of Information Communication Technology,PHIL 208,Commuinication & Journalism,,
Philosophy,Development of Muslim Philosophy,PHIL 301,Development Studies,,
Philosophy,Indian Philosophy,PHIL 302,,,
Philosophy,Social Philosophers,PHIL 303,,,
Philosophy,Moral Theories of Kant and Mill,PHIL 304,,,
Philosophy,Philosophy of the Bangalee: Ancient to Modern,PHIL 305,,,
Philosophy,Modern Philosophical Classics: Hume and Kant,PHIL 306,,,
Philosophy,Epistemology,PHIL 307,,,
Philosophy,Philosophy of Education,PHIL 308,,,
Philosophy,Muslim Thoughts: Contemporary Trends and Issues,PHIL 309,,,
Philosophy,Contemporary Western Philosophy,PHIL 401,,,
Philosophy,Applied Philosophy,PHIL 402,,,
Philosophy,Environmental Philosophy,PHIL 403,Environmental Science,,
Philosophy,Research Methodology,PHIL 404,,,
Philosophy,Philosophy of Mind,PHIL 405,,,
Philosophy,Philosophy of Science,PHIL 406,,,
Philosophy,Philosophy of Religion,PHIL 407,,,
Philosophy,Thesis Paper*,PHIL 408,,,
Philosophy,Aesthetics**,PHIL 409,,,
IER,Principles of Accounting,PreACBE 409,Accounting,,
IER,Language and Mother Tongue,PreACC 101,,,
IER,Emergence of Independent Bangladesh,PreACC 107,Bangla,,
IER,"Nation, Language and Linguistics",PreACL 211,,,
IER,English Language Skills and World Literature,PreACL 221,English,,
IER,Grammar Review and 20th Century English Literature,PreACL 222,English,,
IER,Mathematics-One: Fundamentals of Mathematics,PreACS 311,Mathematics,,
IER,"Physics-One: Mechanics, Waves and Properties of Matter",PreACS 321,Physics,,
IER,Chemistry-One: Physical Chemistry,PreACS 331,Chemistry,,
IER,Botany-One: Plant forms-1 and Plant Pathology,PreACS 341,Botany,,
IER,Zoology-One: Diversity of Animals,PreACS 351,Zoology,,
IER,Introduction to Psychology,PreACSE 381,Psychology,,
IER,Introduction to Children with Special Educational Needs,PreACSE 382,,,
IER,Economics-One: Fundamentals of Micro and Macro Economics,PreACSS 251,Economics,,
IER,History-One: Ancient Civilizations,PreACSS 231,History,,
IER,Geography-One: Physical Geography,PreACSS 241,Geography and Environmental Science,,
IER,Political Science-One: Political Science Theory,PreACSS 261,Political Science,,
IER,Sociology-One: Introductory Sociology,PreACSS 271,Sociology,,
IER,Introduction to Education,PrePC 111,,,
IER,Principles of Management,PreACBE 401,Management,,
IER,Introduction to Business,PreACBE 405,,,
IER,Introduction to Management Accounting and Control,PreACBE 410,Accounting, Management,
IER,English (Compulsory)-One: Developing English Language Skills,PreACC 105,English,,
