Merit,Department
1286,Institute of Marine Sciences
1290,Dept. of Electrical and Electronic Engineering
1291,Dept. of Environmental Science
1292,Dept. of Statistics
1294,Dept. of Botany
1295,Institute of Marine Sciences
1298,Dept. of Environmental Science
1300,Dept. of Physics
1303,Dept. of Mathematics
1307,Dept. of Geography and Environmental Studies
1311,Dept. of Physics
1312,Dept. of Physics
1313,Dept. of Statistics
1316,Dept. of Environmental Science
1317,Dept. of Geography and Environmental Studies
1319,Institute of Marine Sciences
1320,Dept. of Electrical and Electronic Engineering
1322,Dept. of Physics
1323,Dept. of Physics
1326,Dept. of Physics
1328,Dept. of Statistics
1329,Dept. of Mathematics
1330,Dept. of Statistics
1332,Dept. of Mathematics
1333,Institute of Marine Sciences
1335,Dept. of Statistics
1338,Dept. of Physics
1341,Dept. of Physics
1342,Dept. of Physics
1343,Institute of Marine Sciences
1345,Institute of Marine Sciences
1349,Dept. of Statistics
1350,Dept. of Mathematics
1352,Dept. of Mathematics
1355,Institute of Marine Sciences
1358,Dept. of Geography and Environmental Studies
1361,Dept. of Mathematics
1362,Dept. of Mathematics
1367,Institute of Marine Sciences
1370,Dept. of Zoology
1375,Dept. of Physics
1376,Dept. of Statistics
1377,Dept. of Physics
1381,Dept. of Electrical and Electronic Engineering
1383,Dept. of Electrical and Electronic Engineering
1384,Institute of Marine Sciences
1385,Dept. of Mathematics
1391,Dept. of Zoology
1393,Institute of Marine Sciences
1394,Dept. of Physics
1395,Dept. of Statistics
1397,Dept. of Zoology
1399,Dept. of Zoology
1400,Dept. of Electrical and Electronic Engineering
1401,Dept. of Electrical and Electronic Engineering
1404,Dept. of Oceanography
1406,Dept. of Statistics
1407,Dept. of Physics
1408,Institute of Marine Sciences
1409,Dept. of Mathematics
1414,Dept. of Soil Science
1420,Dept. of Physics
1422,Dept. of Statistics
1424,Dept. of Statistics
1426,Dept. of Physics
1428,Dept. of Statistics
1429,Dept. of Statistics
1431,Dept. of Electrical and Electronic Engineering
1432,Dept. of Physics
1433,Dept. of Mathematics
1434,Dept. of Mathematics
1438,Dept. of Statistics
1440,Dept. of Mathematics
1441,Dept. of Statistics
1443,Dept. of Mathematics
1446,Dept. of Physics
1447,Dept. of Mathematics
1448,Dept. of Statistics
1449,Dept. of Statistics
1450,Dept. of Statistics
1451,Dept. of Electrical and Electronic Engineering
1452,Dept. of Mathematics
1453,Dept. of Physics
1454,Dept. of Statistics
1455,Dept. of Oceanography
1456,Dept. of Mathematics
1458,Dept. of Botany
