Merit,Department
1262,Dept. of Philosophy
1263,Dept. of Bangladesh Studies
1264,Dept. of Philosophy
1266,Dept. of Philosophy
1267,Dept. of Bangladesh Studies
1268,Dept. of Philosophy
1269,Dept. of Bangladesh Studies
1270,Dept. of Philosophy
1271,Dept. of Bangladesh Studies
1272,Dept. of Philosophy
1274,Dept. of Philosophy
1276,Institute of Education and Research
1277,Dept. of Bangladesh Studies
1278,Dept. of Philosophy
1282,Dept. of Philosophy
1285,Dept. of Bangladesh Studies
1286,Institute of Education and Research
1288,Dept. of Philosophy
1291,Dept. of Philosophy
1292,Dept. of Philosophy
1293,Dept. of Bangladesh Studies
1294,Dept. of Bangladesh Studies
1295,Dept. of Philosophy
1296,Dept. of Philosophy
1299,Dept. of Philosophy
1301,Dept. of Bangladesh Studies
1303,Dept. of Philosophy
1304,Dept. of Philosophy
1305,Dept. of Bangladesh Studies
1306,Dept. of Philosophy
1309,Dept. of Bangladesh Studies
1310,Dept. of Philosophy
1311,Dept. of Bangladesh Studies
1312,Dept. of Philosophy
1313,Dept. of Bangladesh Studies
1314,Dept. of Persian Language & Literature
1317,Dept. of Pali
1319,Institute of Education and Research
1321,Dept. of Sanskrit
1322,Institute of Education and Research
1323,Dept. of Persian Language & Literature
1326,Dept. of Persian Language & Literature
1328,Dept. of Persian Language & Literature
1329,Dept. of Arabic
1330,Dept. of Sanskrit
1331,Institute of Modern Languages
1332,Dept. of Persian Language & Literature
1333,Dept. of Sanskrit
1334,Dept. of Persian Language & Literature
1335,Dept. of Persian Language & Literature
1336,Dept. of Pali
1337,Dept. of Sanskrit
1338,Dept. of Sanskrit
1339,Dept. of Persian Language & Literature
1341,Institute of Modern Languages
1342,Institute of Modern Languages
1343,Dept. of Sanskrit
1344,Dept. of Islamic Studies
1346,Dept. of Islamic Studies
1348,Dept. of Islamic Studies
1349,Dept. of Islamic Studies
1350,Dept. of Persian Language & Literature
1351,Dept. of Persian Language & Literature
1359,Dept. of Sanskrit
1360,Dept. of Pali
1362,Dept. of Sanskrit
1363,Dept. of Persian Language & Literature
1364,Dept. of Islamic Studies
1366,Dept. of Islamic Studies
1368,Dept. of Persian Language & Literature
1370,Dept. of Persian Language & Literature
1372,Dept. of Persian Language & Literature
1374,Institute of Modern Languages
